GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 19.04 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,Gestrige Quellen,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,IFSG Spalte,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),"Quarantäne 
verifiziert",Todesfälle (COVID-19),Tests,Negativ Tests,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,Geschätzt,Geschätzt.1,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Geschätzt.2
Rosenheim,Kreisfreie Stadt,9163,383.0,8%,414,414.0,https://rosenheim.de/aktuell-rathaus/stadt-und-landkreis-rosenheim-aktuelle-informationen-zum-corona-virus.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,24/04/2020 00:00, 414,107.0,,,,14.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 31,414 C 14 D Checked 14:39,@jonasfbb,@plateauton,1,,107.0,361,14.0,,,,,,,,,5.0,218,157.0,14.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Rosenheim,Landkreis,9187,1.8880000000000001,1%,1914,1914.0,https://www.landkreis-rosenheim.de/Default.asp?rq_AppGuid=D53E3617FFC7C16729E9ABD3CE049BFAE5B2C888&rq_TargetPageGuid=868C21C44B5C21E6A7E5D94015AA8043B75FFA61&rq_RecId=33363736&rq_MenuGuid=81E6AF0753F9AC2FE91C86253937F9D94C472C26&rq_TemplateKey=73746167655F6170706D61696E&rq_Lang=de#{1}%7B1%7D,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,24/04/2020 00:00,1 914,662.0,,297.0,50.0,104.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 26,1914 C 104 D Checked 14:38,@jonasfbb,@plateauton,1,,662.0,1862,104.0,,,,,,,,,35.0,1310,550.0,104.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Roth,Landkreis,9576,272.0,0%,272,,https://www.landratsamt-roth.de/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,23/04/2020 10:00, 276,194.0, 55,13.0,,7.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 4,C276 G194 D7 22:30-23:00,James,,0,,194.0,272,7.0,159.0,,,,,,,,3.0,219,194.0,7.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Rottal-Inn,Landkreis,9277,686.0,0%,686,,https://www.rottal-inn.de/buergerservice-formulare/gesundheitsamt/coronavirus-aktuelle-informationen/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,23/04/2020 10:00, 688,536.0, 350,36.0,13.0,41.0,24.04.2020 14:00,https://www.rottal-inn.de/buergerservice-formulare/gesundheitsamt/coronavirus-aktuelle-informationen/,@bandur, 2,C688 G536 D41 22:30-23:00,James,,0,,521.0,690,41.0,350.0,,,,,,,,21.0,568,521.0,41.0,23.04.2020,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Schwabach,Kreisfreie Stadt,9565,73.0,1%,74,74.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,24/04/2020 00:00, 74,6.0,,,,1.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 1,74 C 1 D Checked 14:37,@jonasfbb,Stain Fels,1,,6.0,73,1.0,,,,,,,,,,59,6.0,1.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Schwandorf,Landkreis,9376,425.0,0%,425,,https://www.landkreis-schwandorf.de/index.php?object=tx%7C1901.64&ModID=255&FID=1901.15309.1&&mNavID=1.100&La=1,https://www.landkreis-schwandorf.de/index.php?object=tx%7C1901.64&ModID=255&FID=1901.15309.1&&mNavID=1.100&La=1,23/04/2020 19:00, 429,285.0, 591,30.0,11.0,14.0,24/04/2020,https://www.landkreis-schwandorf.de/index.php?object=tx%7C1901.64&ModID=255&FID=1901.15309.1&&mNavID=1.100&La=1,@Colonia Claudia, 4,C429 G285 D14 22:30-23:00,James,,0,,283.0,421,14.0,573.0,,,,,,,,8.0,303,283.0,14.0,23/04/2020,9,1.0,https://www.landkreis-schwandorf.de/index.php?object=tx%7C1901.64&ModID=255&FID=1901.15309.1&&mNavID=1.100&La=1
Schweinfurt,Kreisfreie Stadt,9662,151.0,0%,151,,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,23/04/2020 15:45, 157,81.0, 178,,,16.0,24/04/2020,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,@distanzreiter, 6,C157 G81 D16 22:30-23:00,James,,0,,79.0,147,16.0,250.0,,,,,,,,9.0,94,79.0,16.0,23/04/2020 15:45,9,1.0,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c
Schweinfurt,Landkreis,9678,437.0,0%,437,,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,23/04/2020 15:45, 443,199.0, 548,47.0,,20.0,24/04/2020,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,@distanzreiter, 6,C443 G199 D20 22:30-23:00,James,,0,,190.0,432,20.0,601.0,,,,,,,,5.0,274,190.0,20.0,23/04/2020 15:45,9,1.0,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c
Starnberg,Landkreis,9188,510.0,0%,510,,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.lk-starnberg.de/B%C3%BCrgerservice/Gesundheit-und-Krankheit/Coronavirus-Informationen-Fragen-und-Antworten/Infektionszahlen-und-weitere-Daten-zum-Coronavirus,23/04/2020 18:30, 517,434.0, 131,49.0,11.0,9.0,24.04.2020 19:21,https://www.lk-starnberg.de/B%C3%BCrgerservice/Gesundheit-und-Krankheit/Coronavirus-Informationen-Fragen-und-Antworten/Infektionszahlen-und-weitere-Daten-zum-Coronavirus,@LSDR, 7,C517 G434 D9 22:30-23:00,James,,0,,420.0,507,9.0,338.0,,,,,,,,3.0,431,420.0,9.0,23.04.2020,9,1.0,https://www.lk-starnberg.de/B%C3%BCrgerservice/Gesundheit-und-Krankheit/Coronavirus-Informationen-Fragen-und-Antworten/Infektionszahlen-und-weitere-Daten-zum-Coronavirus
Straubing,Kreisfreie Stadt,9263,340.0,0%,340,,https://www.coronainfo-straubing.de/index.html,https://www.coronainfo-straubing.de/index.html,23/04/2020 10:00, 355,111.0,,21.0,4.0,27.0,24/04/2020,https://www.coronainfo-straubing.de/index.html,@Colonia Claudia, 15,C355 G111 D27 22:30-23:00 LGL=361 D31,James,,0,,103.0,341,27.0,,,,,,,,,5.0,218,103.0,27.0,23/04/2020,9,1.0,https://www.coronainfo-straubing.de/index.html
Straubing-Bogen,Landkreis,9278,389.0,0%,389,,https://www.landkreis-straubing-bogen.de/buergerservice/informationen-zum-corona-virus/,https://www.landkreis-straubing-bogen.de/buergerservice/informationen-zum-corona-virus/,23/04/2020 10:00, 385,130.0,,63.0,9.0,13.0,24/04/2020,https://www.landkreis-straubing-bogen.de/buergerservice/informationen-zum-corona-virus/,@Colonia Claudia,- 4,C385 G130 D13 22:30-23:00 LGL=434 D15,James,,0,,123.0,346,15.0,,,,,,,,,7.0,259,123.0,15.0,23/04/2020 10:00,9,1.0,https://www.landkreis-straubing-bogen.de/buergerservice/informationen-zum-corona-virus/
Tirschenreuth,Landkreis,9377,1.083,1%,1099,1099.0,https://www.kreis-tir.de/buergerservice/aktuelles/,https://www.kreis-tir.de/buergerservice/aktuelles/,24/04/2020 14:00,1 099,764.0,,,,99.0,24.04.2020 14:00,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/corona-infizierte-kurve-flacht-zwar-ab-gibt-aber-keinen-grund-fuer-falsche-sicherheit/,@Elvte_76, 16,1099 C 764 G 99 D Checked 17:02,@jonasfbb,@plateauton,1,,764.0,1082,99.0,,74,,,,,,,49.0,895,734.0,97.0,23/04/2020 10:00,9,1.0,https://www.kreis-tir.de/buergerservice/aktuelles/
Traunstein,Landkreis,9189,1.015,2%,1035,1035.0,https://www.traunstein.com/aktuelles,https://www.traunstein.com/aktuelles/meldungen/insgesamt-987-bestaetigte-corona-faelle-im-landkreis-traunstein,24/04/2020 15:00,1 035,340.0,,46.0,9.0,51.0,24/04/2020 15:00,https://www.traunstein.com/aktuelles/meldungen/insgesamt-1035-bestaetigte-corona-faelle-im-landkreis-traunstein,@Elvte_76, 20,1035 C 340 G 51 D Checked 17:00,@jonasfbb,@plateauton,1,,340.0,987,51.0,,,,,,,,,15.0,566,311.0,51.0,23/04/2020 10:00,9,1.0,https://www.traunstein.com/aktuelles/meldungen/insgesamt-987-bestaetigte-corona-faelle-im-landkreis-traunstein
Unterallgäu,Landkreis,9778,269.0,0%,269,,https://www.landratsamt-unterallgaeu.de/buergerservice/gesundheit/coronavirus.html,https://www.landratsamt-unterallgaeu.de/buergerservice/gesundheit/coronavirus.html,24/04/2020 00:00, 269,175.0,,,,12.0,24.04.2020,https://www.landratsamt-unterallgaeu.de/buergerservice/gesundheit/coronavirus.html,@Elvte_76,0,C269 G174 D12 19:06,Stain Fels,James,1,,175.0,266,12.0,,,,,,,,,4.0,220,170.0,11.0,23.04.2020,9,1.0,https://www.landratsamt-unterallgaeu.de/buergerservice/gesundheit/coronavirus.html
Weiden i.d. OPf.,Kreisfreie Stadt,9363,270.0,0%,270,,https://www.weiden.de/stadt/willkommen/aktuelles,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,23/04/2020 10:00, 271,,,,,7.0,24/04/2020 10:00,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@vitavonni, 1,C271 G D7 22:30-23:00,James,,0,,,263,6.0,,,,,,,,,4.0,154,,6.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Weilheim-Schongau,Landkreis,9190,340.0,0%,340,,https://www.weilheim-schongau.de/aktuelles/aktuelle-meldungen/,https://www.weilheim-schongau.de/aktuelles/aktuelle-meldungen/pressemitteilung-nr-952020/,23/04/2020 10:00, 330,275.0, 70,17.0,5.0,2.0,24/04/2020 14:00,https://www.weilheim-schongau.de/aktuelles/aktuelle-meldungen/pressemitteilung-96-2020-vom-24042020/,@mittedeathsquad,- 10,C330 G275 D2 19:03,Stain Fels,,0,,268.0,329,2.0,70.0,,,,,,,,1.0,296,268.0,2.0,23/04/2020 10:00,9,1.0,https://www.weilheim-schongau.de/aktuelles/aktuelle-meldungen/pressemitteilung-nr-952020/
Weißenburg-Gunzenhausen,Landkreis,9577,304.0,4%,316,316.0,https://www.landkreis-wug.de/gesundheit/coronavirus/,https://www.landkreis-wug.de/gesundheit/coronavirus/fallzahlen/,24/04/2020 09:00, 316,127.0,,,,15.0,24/04/2020 09:00,https://www.landkreis-wug.de/gesundheit/coronavirus/fallzahlen/,@distanzreiter, 12,316 C 127 G 15 D Checked 12:26,@jonasfbb,James,1,,127.0,292,15.0,,,,,,,,,2.0,186,116.0,15.0,23.04.2020 09:00,9,1.0,https://www.landkreis-wug.de/gesundheit/coronavirus/fallzahlen/
Wunsiedel i. Fichtelgebirge,Landkreis,9479,600.0,0%,600,,https://www.landkreis-wunsiedel.de/buergerservice/aktuelle-informationen-zum-coronavirus-sars-cov-2,https://www.landkreis-wunsiedel.de/buergerservice/aktuelle-informationen-zum-coronavirus-sars-cov-2#,23/04/2020 18:30, 604,505.0,,,,33.0,24.04.2020,https://www.landkreis-wunsiedel.de/buergerservice/aktuelle-informationen-zum-coronavirus-sars-cov-2#,@Elvte_76, 4,C604 G505 D33 19:03,Stain Fels,,0,,487.0,594,33.0,,,,,,,,,13.0,475,487.0,33.0,23.04.2020,9,1.0,https://www.landkreis-wunsiedel.de/buergerservice/aktuelle-informationen-zum-coronavirus-sars-cov-2#
Würzburg,Kreisfreie Stadt,9663,461.0,0%,462,,https://www.wuerzburg.de/themen/gesundheit-soziales/coronavirus/index.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,24/04/2020 00:00, 462,210.0, 450,,,49.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 1,C462 D49 19:05,Stain Fels,James,1,,210.0,458,49.0,846.0,,,,,,,,34.0,379,210.0,48.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Würzburg,Landkreis,9679,399.0,1%,401,,https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,24/04/2020 00:00, 401,200.0, 390,,,6.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 2,C401 D6 19:05,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,James,1,,200.0,396,6.0,702.0,,,,,,,,,305,200.0,5.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Merzig-Wadern,Landkreis,10042,188.0,1%,189,,"https://www.merzig-wadern.de/Kurzmen%C3%BC/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1","https://www.merzig-wadern.de/Kurzmen%C3%BC/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1",24/04/2020 16:07, 189,143.0,,,,2.0,24/04/2020 16:07,"https://www.merzig-wadern.de/Kurzmen%C3%BC/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1",@Elvte_76, 1,C189 G143 D2 19:02,Stain Fels,James,1,,143.0,187,2.0,,,,,,,,,1.0,150,95.0,2.0,23.04.2020 17:07,10,1.0,"https://www.merzig-wadern.de/Kurzmen%C3%BC/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1"
Neunkirchen,Landkreis,10043,226.0,0%,226,,https://www.neunkirchen.de/index.php?id=corona,https://corona.saarland.de/DE/service/chronologie-corona/chronologie-corona_node.html,23/04/2020 18:00, 226,108.0,,,,10.0,24/04/2020,https://corona.saarland.de/DE/service/chronologie-corona/chronologie-corona_node.html,@Colonia Claudia,0,C226 G108 D10 22:33,James,,0,,108.0,225,10.0,,,,,,,,,,169,108.0,10.0,23/04/2020,10,1.0,https://corona.saarland.de/DE/service/chronologie-corona/chronologie-corona_node.html
Regionalverband Saarbrücken,Landkreis,10041,1.0859999999999999,0%,1086,,https://www.regionalverband-saarbruecken.de/corona/,https://corona.saarland.de/DE/service/chronologie-corona/chronologie-corona_node.html,23/04/2020 00:00,1 098,576.0,,163.0,46.0,88.0,24/04/2020 18:00,https://www.regionalverband-saarbruecken.de/presse/nachricht-startseite/news/taegliche-fallzahl-statistik-aus-dem-regionalverband-18/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=783883fe27ad799fabe4b2d9e562bde8,@bandur, 12,C1098 G576 D88 22:32,James,,0,,555.0,1065,86.0,,,,,,,,,24.0,770,555.0,86.0,23/04/2020,10,1.0,https://corona.saarland.de/DE/service/chronologie-corona/chronologie-corona_node.html
Saarlouis,Landkreis,10044,489.0,1%,495,,https://www.kreis-saarlouis.de/Aktuelles/Corona-Ticker-Aktuelle-Lage.html?,https://www.kreis-saarlouis.de/Aktuelles/Corona-Ticker-Aktuelle-Lage.html?,24/04/2020 18:30, 495,276.0,,,,16.0,24.04.2020 18:30,https://www.kreis-saarlouis.de/Aktuelles/Corona-Ticker-Aktuelle-Lage.html?,@Elvte_76, 6,C495 G276 D16 19:01,Stain Fels,James,1,,276.0,474,16.0,,,,,,,,,4.0,353,267.0,16.0,23/04/2020,10,1.0,https://www.kreis-saarlouis.de/Aktuelles/Corona-Ticker-Aktuelle-Lage.html?
Saarpfalz-Kreis,Landkreis,10045,305.0,2%,310,,https://www.saarpfalz-kreis.de/leben-soziales-gesundheit/gesundheit/coronavirus,https://www.saarpfalz-kreis.de/leben-soziales-gesundheit/gesundheit/coronavirus,24/04/2020 00:00, 310,231.0,,,,2.0,24/04/2020,https://www.saarpfalz-kreis.de/leben-soziales-gesundheit/gesundheit/coronavirus,@distanzreiter, 5,C310 G231 D2 19:00,Stain Fels,James,1,,231.0,305,2.0,,,,,,,,,2.0,262,217.0,2.0,23/04/2020,10,1.0,https://www.saarpfalz-kreis.de/leben-soziales-gesundheit/gesundheit/coronavirus
St. Wendel,Landkreis,10046,158.0,0%,158,,https://www.landkreis-st-wendel.de/der-landkreis/landratsamt/aktuelle-meldungen/,https://corona.saarland.de/DE/service/chronologie-corona/chronologie-corona_node.html,23/04/2020 18:00, 159,72.0, 136,,,4.0,24/04/2020 18:00,https://corona.saarland.de/DE/service/chronologie-corona/chronologie-corona_node.html,@bandur, 1,C159 G72 D4 22:32,James,,0,,72.0,157,4.0,,,,,,,,,1.0,138,72.0,4.0,23/04/2020,10,1.0,https://corona.saarland.de/DE/service/chronologie-corona/chronologie-corona_node.html
Berlin,Kreisfreie Stadt,11000,5.476,0%,5476,,https://www.berlin.de/sen/gpg/service/presse/2020/,https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.924129.php,23/04/2020 19:50,5 532,4412.0,,523.0,154.0,113.0,24/04/2020 19:46:00,https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.925508.php,@Elvte_76, 56,C5532 G4412 D113 22:31,James,,0,,4044.0,5355,112.0,,,,,,,,,32.0,4212,4044.0,112.0,23/04/2020,11,1.0,https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.924129.php
Barnim,Landkreis,12060,337.0,0%,337,,https://www.barnim.de/leben-in-barnim/gesundheit/coronavirus.html,https://covid19.barnim.de/fileadmin/portal/corona/Lagebericht/2020-04-22_Lagebericht_Landkreis_Barnim_Homepage.pdf,24/04/2020 00:00, 337,96.0, 494,,,19.0,24.04.2020,https://covid19.barnim.de/fileadmin/portal/corona/Lagebericht/2020-04-24_Lagebericht_Landkreis_Barnim_Homepage.pdf,@plan08/15,0,C337 G96 D19 22:30,James,JamesOVERRIDE,1,,96.0,325,19.0,318.0,,,,,,,,2.0,126,93.0,18.0,23.04.2020,12,1.0,https://covid19.barnim.de/fileadmin/portal/corona/Lagebericht/2020-04-22_Lagebericht_Landkreis_Barnim_Homepage.pdf
Brandenburg an der Havel,Kreisfreie Stadt,12051,53.0,4%,55,,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/,24/04/2020 14:00, 55,39.0, 62,17.0,,0.0,24.04.2020 14:00,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/,@plan08/15, 2,C55 G39 D0 18:57,Stain Fels,James,1,,39.0,52,0.0,103.0,,,,,,,,1.0,39,34.0,0.0,23/04/2020,12,1.0,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/
Cottbus,Kreisfreie Stadt,12052,39.0,0%,39,,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/coronavirus_covid-19_sars-cov-2.html,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/coronavirus_covid-19_sars-cov-2.html,24/04/2020 00:00, 39,33.0, 34,2.0,,,24/04/2020,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/corona/index.html,@Colonia Claudia,0,C39 G33 D0 18:51,Stain Fels,James,1,,33.0,39,,63.0,,,,,,,,,34,33.0,,23.04.2020 13:30,12,0.0,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/coronavirus_covid-19_sars-cov-2.html
Dahme-Spreewald,Landkreis,12061,163.0,2%,166,,https://www.dahme-spreewald.info/de/Politik_&_Verwaltung/Verwaltungsstruktur/Dezernat_fuer_Soziales_Jugend_Gesundheit_und_Kultur/Gesundheitsamt/Coronavirus/58651.html,https://www.dahme-spreewald.info/sixcms/media.php/sesidev.a.79.de/download/2020-04-22_Kachel_Corona_LDS.jpg,24/04/2020 00:00, 166,101.0, 159,3.0,,4.0,24/04/2020,https://www.dahme-spreewald.info/de/Politik_&_Verwaltung/Verwaltungsstruktur/Dezernat_fuer_Soziales_Jugend_Gesundheit_und_Kultur/Gesundheitsamt/Coronavirus/58651.html,@Colonia Claudia, 3,C166 G101 D4 18:49,Stain Fels,James,1,,101.0,162,4.0,242.0,,,,,,,,3.0,128,92.0,4.0,23/04/2020,12,1.0,https://www.dahme-spreewald.info/sixcms/media.php/sesidev.a.79.de/download/2020-04-22_Kachel_Corona_LDS.jpg
Elbe-Elster,Landkreis,12062,73.0,0%,73,,https://www.lkee.de/Aktuelles-Kreistag/Pressemitteilungen,https://www.lkee.de/Aktuelles-Kreistag/Pressemitteilungen/PressPI-Corona-Infektionen-im-Landkreis-unver%C3%A4ndert.php?object=&ModID=7&FID=2112.3709.1&NavID=2112.368&La=1,24/04/2020 00:00, 73,61.0,,2.0,,3.0,24/04/2020,https://www.lkee.de/Aktuelles-Kreistag/Pressemitteilungen/PressPI-Corona-Infektionen-im-Landkreis-weiter-unver%C3%A4ndert.php?object=&ModID=7&FID=2112.3715.1&NavID=2112.368&La=1,@Colonia Claudia,0,C73 D3 18:41,Stain Fels,James,1,,61.0,73,3.0,,,,,,,,,2.0,66,59.0,3.0,23/04/2020 17:30,12,0.0,https://www.lkee.de/Aktuelles-Kreistag/Pressemitteilungen/PressPI-Corona-Infektionen-im-Landkreis-unver%C3%A4ndert.php?object=&ModID=7&FID=2112.3709.1&NavID=2112.368&La=1
Frankfurt (Oder),Kreisfreie Stadt,12053,23.0,0%,23,,https://www.frankfurt-oder.de/Verwaltung-Politik/Verwaltung/Aktuelles/Informationen-zum-Corona-Virus-Sars-CoV-02-/,https://www.frankfurt-oder.de/PDF/Fallzahlen_zu_COVID_19_f%C3%BCr_Frankfurt_Oder_KW_13.PDF?ObjSvrID=2616&ObjID=8199&ObjLa=1&Ext=PDF&WTR=1&_ts=1585062094,24/04/2020 11:00, 23,21.0, 17,1.0,,,24/04/2020 11:00,https://www.frankfurt-oder.de/PDF/Fallzahlen_zu_COVID_19_f%C3%BCr_Frankfurt_Oder_KW_13.PDF?ObjSvrID=2616&ObjID=8199&ObjLa=1&Ext=PDF&WTR=1&_ts=1585062094,@Elvte_76,0,C23 G21 D0 18:48,Stain Fels,James,1,,21.0,23,,26.0,,,,,,,,,22,21.0,,23/04/2020,12,0.0,https://www.frankfurt-oder.de/PDF/Fallzahlen_zu_COVID_19_f%C3%BCr_Frankfurt_Oder_KW_13.PDF?ObjSvrID=2616&ObjID=8199&ObjLa=1&Ext=PDF&WTR=1&_ts=1585062094
Havelland,Landkreis,12063,150.0,0%,150,,https://www.havelland.de/coronavirus/,https://www.havelland.de/coronavirus/,24/04/2020 00:00, 150,,,16.0,,5.0,24/04/2020,https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~24-04-2020-corona-faelle-stand-24042020,@Colonia Claudia,0,C150 D5 18:42,Stain Fels,James,1,,,145,5.0,,,,,,,,,3.0,112,,5.0,23/04/2020 11:00,12,1.0,https://www.havelland.de/coronavirus/
Märkisch-Oderland,Landkreis,12064,166.0,0%,166,,https://www.maerkisch-oderland.de/de/aktuelle-lageberichte.html,https://www.maerkisch-oderland.de/de/aktuelle-lageberichte.html,24/04/2020 10:00, 166,124.0, 205,11.0,4.0,3.0,24.04.2020 10:00,"https://www.maerkisch-oderland.de/de/datei/anzeigen/id/19526,1249/lagebericht_35_mit_karte_lk_mol_24.04.2020.pdf",@plan08/15,0,C166 G124 D3 18:48,Stain Fels,James,1,,124.0,160,3.0,419.0,,,,,,,,1.0,120,118.0,2.0,23.04.2020 13:30,12,1.0,https://www.maerkisch-oderland.de/de/aktuelle-lageberichte.html
